,support,itemsets
98,0.02,"frozenset({'Florence', 'CookBks', 'YouthBks'})"
99,0.058,"frozenset({'RefBks', 'DoItYBks', 'YouthBks'})"
100,0.06,"frozenset({'DoItYBks', 'ArtBks', 'YouthBks'})"
101,0.068,"frozenset({'DoItYBks', 'GeogBks', 'YouthBks'})"
102,0.031,"frozenset({'DoItYBks', 'ItalCook', 'YouthBks'})"
103,0.049,"frozenset({'RefBks', 'ArtBks', 'YouthBks'})"
104,0.057,"frozenset({'RefBks', 'GeogBks', 'YouthBks'})"
105,0.0265,"frozenset({'RefBks', 'ItalCook', 'YouthBks'})"
106,0.065,"frozenset({'ArtBks', 'GeogBks', 'YouthBks'})"
107,0.0305,"frozenset({'ArtBks', 'ItalCook', 'YouthBks'})"
108,0.023,"frozenset({'ItalArt', 'ArtBks', 'YouthBks'})"
109,0.0345,"frozenset({'GeogBks', 'ItalCook', 'YouthBks'})"
110,0.0845,"frozenset({'RefBks', 'DoItYBks', 'CookBks'})"
111,0.1015,"frozenset({'DoItYBks', 'ArtBks', 'CookBks'})"
112,0.1085,"frozenset({'DoItYBks', 'GeogBks', 'CookBks'})"
113,0.0585,"frozenset({'DoItYBks', 'ItalCook', 'CookBks'})"
114,0.027,"frozenset({'ItalArt', 'DoItYBks', 'CookBks'})"
115,0.0235,"frozenset({'DoItYBks', 'Florence', 'CookBks'})"
116,0.07,"frozenset({'RefBks', 'ArtBks', 'CookBks'})"
117,0.089,"frozenset({'RefBks', 'GeogBks', 'CookBks'})"
118,0.0465,"frozenset({'RefBks', 'ItalCook', 'CookBks'})"
119,0.0285,"frozenset({'RefBks', 'ItalAtlas', 'CookBks'})"
120,0.0205,"frozenset({'RefBks', 'Florence', 'CookBks'})"
121,0.1035,"frozenset({'ArtBks', 'GeogBks', 'CookBks'})"
122,0.0565,"frozenset({'ArtBks', 'ItalCook', 'CookBks'})"
123,0.041,"frozenset({'ItalArt', 'ArtBks', 'CookBks'})"
124,0.0315,"frozenset({'ArtBks', 'Florence', 'CookBks'})"
125,0.064,"frozenset({'GeogBks', 'ItalCook', 'CookBks'})"
126,0.025,"frozenset({'ItalArt', 'GeogBks', 'CookBks'})"
127,0.031,"frozenset({'Florence', 'GeogBks', 'CookBks'})"
